regime,D_v,n_runs,n_steady_snapshots,H_mean_runs,H_std_runs,D_mean_runs,D_std_runs,DKL_mean_runs,DKL_std_runs,H_time_std_mean_runs,D_time_std_mean_runs,DKL_time_std_mean_runs,kmean_AB_mean_runs,kmean_AB_std_runs,kpeak_A_mean_runs,kpeak_A_std_runs,k_bin,k,PS_A_mean,PS_A_std,PS_B_mean,PS_B_std,PS_0_mean,PS_0_std,G_AB_mean,G_AB_std
segregating,0.010,10,200,0.7338955114200243,0.013302729833837183,1.0874325077441798,0.011495734064277563,0.3829958485516256,0.006800962367532458,0.009287110794627369,0.011680237978009819,0.006390687298718921,0.4647282411875998,0.0187252101825782,0.4698913480357323,0.05873641850446673,0,0.09789403084077755,15278.822256807693,10158.201590842953,21315.515486304874,11381.910393188757,16370.358603319484,6262.4503147414125,-10111.989569896537,10139.340470117582
segregating,0.010,10,200,0.7338955114200243,0.013302729833837183,1.0874325077441798,0.011495734064277563,0.3829958485516256,0.006800962367532458,0.009287110794627369,0.011680237978009819,0.006390687298718921,0.4647282411875998,0.0187252101825782,0.4698913480357323,0.05873641850446673,1,0.2936820925223327,249675.48094701263,90628.61871523417,231836.58450831348,86479.31297663468,30561.662681064532,12368.616106305255,-225475.2013871308,86876.58379742721
segregating,0.010,10,200,0.7338955114200243,0.013302729833837183,1.0874325077441798,0.011495734064277563,0.3829958485516256,0.006800962367532458,0.009287110794627369,0.011680237978009819,0.006390687298718921,0.4647282411875998,0.0187252101825782,0.4698913480357323,0.05873641850446673,2,0.4894701542038878,539818.0779281803,52793.76534552655,541581.6203578094,52518.354079484234,34790.57145826367,9488.444139327894,-523304.56341386295,49674.41003436147
segregating,0.010,10,200,0.7338955114200243,0.013302729833837183,1.0874325077441798,0.011495734064277563,0.3829958485516256,0.006800962367532458,0.009287110794627369,0.011680237978009819,0.006390687298718921,0.4647282411875998,0.0187252101825782,0.4698913480357323,0.05873641850446673,3,0.6852582158854429,50394.55774158992,7465.715593604107,52845.4394761742,7113.033786540325,32777.000189425235,6621.327253218277,-35231.49851416944,6729.851041683636
segregating,0.010,10,200,0.7338955114200243,0.013302729833837183,1.0874325077441798,0.011495734064277563,0.3829958485516256,0.006800962367532458,0.009287110794627369,0.011680237978009819,0.006390687298718921,0.4647282411875998,0.0187252101825782,0.4698913480357323,0.05873641850446673,4,0.8810462775669979,18235.476679489926,4127.980961187582,19339.143897915088,4334.36448286756,30353.238137150696,5802.523465718209,-3610.691220127158,3496.633862642482
segregating,0.010,10,200,0.7338955114200243,0.013302729833837183,1.0874325077441798,0.011495734064277563,0.3829958485516256,0.006800962367532458,0.009287110794627369,0.011680237978009819,0.006390687298718921,0.4647282411875998,0.0187252101825782,0.4698913480357323,0.05873641850446673,5,1.076834339248553,6387.297465752317,1072.1028482404733,6108.223069092408,1119.1602376611397,8044.413474837073,1234.8220127483962,-2225.553530003826,1014.2980964973918
segregating,0.010,10,200,0.7338955114200243,0.013302729833837183,1.0874325077441798,0.011495734064277563,0.3829958485516256,0.006800962367532458,0.009287110794627369,0.011680237978009819,0.006390687298718921,0.4647282411875998,0.0187252101825782,0.4698913480357323,0.05873641850446673,6,1.2726224009301084,2389.8610213210072,580.457196006231,2301.1294393844523,507.251476261571,1664.2261355129551,113.87159213068996,-1513.3821625962523,530.8564027822935
segregating,0.010,10,200,0.7338955114200243,0.013302729833837183,1.0874325077441798,0.011495734064277563,0.3829958485516256,0.006800962367532458,0.009287110794627369,0.011680237978009819,0.006390687298718921,0.4647282411875998,0.0187252101825782,0.4698913480357323,0.05873641850446673,7,1.4684104626116632,1348.0241464650826,340.16170757007325,1347.583750740649,295.7388314714419,635.5748190989426,91.0706828680203,-1030.0165390533944,291.8667080497558
segregating,0.010,10,200,0.7338955114200243,0.013302729833837183,1.0874325077441798,0.011495734064277563,0.3829958485516256,0.006800962367532458,0.009287110794627369,0.011680237978009819,0.006390687298718921,0.4647282411875998,0.0187252101825782,0.4698913480357323,0.05873641850446673,8,1.6641985242932185,629.1904322054964,156.2383086961352,635.6541446022294,146.5244044169436,219.99634448362036,30.94186683765821,-522.4241161620528,136.36507698183723
segregating,0.010,10,200,0.7338955114200243,0.013302729833837183,1.0874325077441798,0.011495734064277563,0.3829958485516256,0.006800962367532458,0.009287110794627369,0.011680237978009819,0.006390687298718921,0.4647282411875998,0.0187252101825782,0.4698913480357323,0.05873641850446673,9,1.8599865859747733,553.5532385504683,166.4024854693139,565.0426161701104,155.0319004976183,122.3240668034201,18.03660970122238,-498.13589395857946,156.3184159585634
