regime,D_v,n_run,n_steady_snapshots,H_mean,H_std_time,D_mean,D_std_time,DKL_mean,DKL_std_time,kmean_AB,kpeak_A,k_bin,k,PS_A,PS_B,PS_0,G_AB
segregating,0.010,0,200,0.8185697290846642,0.011397709273987845,1.2035538225521627,0.012798591862619866,0.44806847130508515,0.00749611827387419,0.35157017312356026,0.30918648268241267,0,0.06183729653648254,0.5927869844825762,0.03863522832569771,0.44875778433388086,-0.09133221423719651
segregating,0.010,0,200,0.8185697290846642,0.011397709273987845,1.2035538225521627,0.012798591862619866,0.44806847130508515,0.00749611827387419,0.35157017312356026,0.30918648268241267,1,0.18551188960944762,4.935222952721853,4.863442654766008,5.593206079935574,-2.1027297637761437
segregating,0.010,0,200,0.8185697290846642,0.011397709273987845,1.2035538225521627,0.012798591862619866,0.44806847130508515,0.00749611827387419,0.35157017312356026,0.30918648268241267,2,0.30918648268241267,69.59796457134286,72.41419348573194,3.6046093269562784,-69.20377436505926
segregating,0.010,0,200,0.8185697290846642,0.011397709273987845,1.2035538225521627,0.012798591862619866,0.44806847130508515,0.00749611827387419,0.35157017312356026,0.30918648268241267,3,0.4328610757553778,27.643488962513278,22.04899437057677,3.2468913205599406,-23.222796006265046
segregating,0.010,0,200,0.8185697290846642,0.011397709273987845,1.2035538225521627,0.012798591862619866,0.44806847130508515,0.00749611827387419,0.35157017312356026,0.30918648268241267,4,0.5565356688283428,4.0697019031365,3.2219326868304905,5.090120545369085,-1.1007570222989538
segregating,0.010,0,200,0.8185697290846642,0.011397709273987845,1.2035538225521627,0.012798591862619866,0.44806847130508515,0.00749611827387419,0.35157017312356026,0.30918648268241267,5,0.680210261901308,1.3879770696108975,1.41575497549264,3.1766602924441893,0.18646412367032603
segregating,0.010,0,200,0.8185697290846642,0.011397709273987845,1.2035538225521627,0.012798591862619866,0.44806847130508515,0.00749611827387419,0.35157017312356026,0.30918648268241267,6,0.803884854974273,0.43348653086586725,1.0397669294882232,1.749614110977013,0.13818032531146132
segregating,0.010,0,200,0.8185697290846642,0.011397709273987845,1.2035538225521627,0.012798591862619866,0.44806847130508515,0.00749611827387419,0.35157017312356026,0.30918648268241267,7,0.9275594480472381,0.27898248738156667,0.33337672809300123,0.7964353841187054,0.09203808432206874
segregating,0.010,0,200,0.8185697290846642,0.011397709273987845,1.2035538225521627,0.012798591862619866,0.44806847130508515,0.00749611827387419,0.35157017312356026,0.30918648268241267,8,1.0512340411202032,0.11269755098265095,0.10772010230175341,0.17854824660490218,-0.020934703339751105
segregating,0.010,0,200,0.8185697290846642,0.011397709273987845,1.2035538225521627,0.012798591862619866,0.44806847130508515,0.00749611827387419,0.35157017312356026,0.30918648268241267,9,1.174908634193168,0.08014089444432976,0.05073209317251324,0.10885033179003652,-0.01101132791340323
segregating,0.010,0,200,0.8185697290846642,0.011397709273987845,1.2035538225521627,0.012798591862619866,0.44806847130508515,0.00749611827387419,0.35157017312356026,0.30918648268241267,10,1.2985832272661333,0.03350256534512363,0.016494574791508437,0.04587192867058072,-0.0020626057330256757
segregating,0.010,0,200,0.8185697290846642,0.011397709273987845,1.2035538225521627,0.012798591862619866,0.44806847130508515,0.00749611827387419,0.35157017312356026,0.30918648268241267,11,1.4222578203390985,0.01375640841372282,0.00949898346934173,0.02912676896380719,0.002935688540371319
segregating,0.010,0,200,0.8185697290846642,0.011397709273987845,1.2035538225521627,0.012798591862619866,0.44806847130508515,0.00749611827387419,0.35157017312356026,0.30918648268241267,12,1.5459324134120633,0.002871413387567073,0.005517052158691734,0.008627120972050949,0.0001193277128960714
segregating,0.010,0,200,0.8185697290846642,0.011397709273987845,1.2035538225521627,0.012798591862619866,0.44806847130508515,0.00749611827387419,0.35157017312356026,0.30918648268241267,13,1.6696070064850286,0.0013824663030317398,0.0026374215614300713,0.0023267566061556735,-0.000846565629153068
segregating,0.010,0,200,0.8185697290846642,0.011397709273987845,1.2035538225521627,0.012798591862619866,0.44806847130508515,0.00749611827387419,0.35157017312356026,0.30918648268241267,14,1.7932815995579938,0.000840513519353621,0.0009670983152904911,0.0005747582703579266,-0.0006164267821430926
segregating,0.010,0,200,0.8185697290846642,0.011397709273987845,1.2035538225521627,0.012798591862619866,0.44806847130508515,0.00749611827387419,0.35157017312356026,0.30918648268241267,15,1.9169561926309586,0.0002697201837929368,0.0002722571690142183,0.00011639614034694502,-0.00021279060623010488
segregating,0.010,0,200,0.8185697290846642,0.011397709273987845,1.2035538225521627,0.012798591862619866,0.44806847130508515,0.00749611827387419,0.35157017312356026,0.30918648268241267,16,2.040630785703924,0.00017960117220916567,0.0001786739016742598,9.31833018294999e-06,-0.00017447837185023763
segregating,0.010,0,200,0.8185697290846642,0.011397709273987845,1.2035538225521627,0.012798591862619866,0.44806847130508515,0.00749611827387419,0.35157017312356026,0.30918648268241267,17,2.1643053787768887,9.367693495376179e-05,0.0001095835046923809,1.4996974818472715e-05,-9.413173241383495e-05
segregating,0.010,0,200,0.8185697290846642,0.011397709273987845,1.2035538225521627,0.012798591862619866,0.44806847130508515,0.00749611827387419,0.35157017312356026,0.30918648268241267,18,2.287979971849854,4.9218196089211805e-05,5.1420126189889896e-05,2.8395326919804573e-05,-3.6121497679648566e-05
segregating,0.010,0,200,0.8185697290846642,0.011397709273987845,1.2035538225521627,0.012798591862619866,0.44806847130508515,0.00749611827387419,0.35157017312356026,0.30918648268241267,19,2.411654564922819,4.253469367043403e-05,3.0899645673562566e-05,3.279862117455977e-05,-2.0317859084718425e-05
segregating,0.010,0,200,0.8185697290846642,0.011397709273987845,1.2035538225521627,0.012798591862619866,0.44806847130508515,0.00749611827387419,0.35157017312356026,0.30918648268241267,20,2.535329157995784,1.92136902396891e-05,1.613933749431031e-05,3.151739957819681e-05,-1.917814077901301e-06
segregating,0.010,0,200,0.8185697290846642,0.011397709273987845,1.2035538225521627,0.012798591862619866,0.44806847130508515,0.00749611827387419,0.35157017312356026,0.30918648268241267,21,2.659003751068749,7.97818328372697e-06,9.511460557464247e-06,2.820406185777623e-05,5.357209008292518e-06
segregating,0.010,0,200,0.8185697290846642,0.011397709273987845,1.2035538225521627,0.012798591862619866,0.44806847130508515,0.00749611827387419,0.35157017312356026,0.30918648268241267,22,2.782678344141714,5.457500804174734e-06,7.25976794280455e-06,2.384849910604911e-05,5.565615179534919e-06
segregating,0.010,0,200,0.8185697290846642,0.011397709273987845,1.2035538225521627,0.012798591862619866,0.44806847130508515,0.00749611827387419,0.35157017312356026,0.30918648268241267,23,2.9063529372146792,2.975780433451943e-06,3.431282017470821e-06,1.2118916246492248e-05,2.8559268977847478e-06
segregating,0.010,0,200,0.8185697290846642,0.011397709273987845,1.2035538225521627,0.012798591862619866,0.44806847130508515,0.00749611827387419,0.35157017312356026,0.30918648268241267,24,3.0300275302876445,1.5670700667962375e-06,2.0851532160342088e-06,5.561337565780258e-06,9.545571414749032e-07
segregating,0.010,0,200,0.8185697290846642,0.011397709273987845,1.2035538225521627,0.012798591862619866,0.44806847130508515,0.00749611827387419,0.35157017312356026,0.30918648268241267,25,3.1537021233606097,1.0960255594366313e-06,1.4361013968348417e-06,2.556458835643012e-06,1.2165939685766637e-08
segregating,0.010,0,200,0.8185697290846642,0.011397709273987845,1.2035538225521627,0.012798591862619866,0.44806847130508515,0.00749611827387419,0.35157017312356026,0.30918648268241267,26,3.2773767164335745,9.274683124686185e-07,8.736460087194121e-07,1.2680544113143042e-06,-2.6652995493686284e-07
segregating,0.010,0,200,0.8185697290846642,0.011397709273987845,1.2035538225521627,0.012798591862619866,0.44806847130508515,0.00749611827387419,0.35157017312356026,0.30918648268241267,27,3.4010513095065398,5.674219393430321e-07,5.602923532859973e-07,4.6309025330235605e-07,-3.3231201966333655e-07
segregating,0.010,0,200,0.8185697290846642,0.011397709273987845,1.2035538225521627,0.012798591862619866,0.44806847130508515,0.00749611827387419,0.35157017312356026,0.30918648268241267,28,3.5247259025795046,3.5971972894515977e-07,4.0993801136418315e-07,1.036634276531936e-07,-3.3299715632807506e-07
segregating,0.010,0,200,0.8185697290846642,0.011397709273987845,1.2035538225521627,0.012798591862619866,0.44806847130508515,0.00749611827387419,0.35157017312356026,0.30918648268241267,29,3.64840049565247,2.24527813339591e-07,2.5400573501820853e-07,7.280105191188447e-08,-2.028662482229576e-07
segregating,0.010,0,200,0.8185697290846642,0.011397709273987845,1.2035538225521627,0.012798591862619866,0.44806847130508515,0.00749611827387419,0.35157017312356026,0.30918648268241267,30,3.772075088725435,1.352596807910132e-07,1.823760370478938e-07,1.649636666693004e-07,-7.633602558480293e-08
segregating,0.010,0,200,0.8185697290846642,0.011397709273987845,1.2035538225521627,0.012798591862619866,0.44806847130508515,0.00749611827387419,0.35157017312356026,0.30918648268241267,31,3.8957496817984,7.77050799189661e-08,1.0651335550618087e-07,1.7947189065681294e-07,-2.3732723841670384e-09
segregating,0.010,0,200,0.8185697290846642,0.011397709273987845,1.2035538225521627,0.012798591862619866,0.44806847130508515,0.00749611827387419,0.35157017312356026,0.30918648268241267,32,4.0194242748713656,4.795039507801817e-08,5.9478296556389996e-08,1.5197557088911642e-07,2.2273439627354176e-08
